Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
45685.98253968254,2013.0,37290.85227811148,29819.709167544785,37290.852278119106,2,1,22005.086832740213,2,7,7.4,37290.85227811908,33827.59457917261,4,7,4,5,14999.0
28592.73612463486,2016.0,32609.905610561058,36675.60232108317,37290.85227811801,2,1,28471.982409638553,0,1,7.6,37290.852278119106,34861.53140200286,4,8,4,5,22750.0
57619.90365448505,2010.0,37290.375894723824,67318.32684824902,37290.852278119106,2,1,20933.3125,4,7,7.9,37290.852278119106,37290.852278119106,4,2,2,4,21950.0
57619.90365448505,2013.0,37291.042901396475,22352.144101479913,37290.852278118946,2,1,34107.510283687945,2,7,6.6,37290.852278119106,34861.53140200286,4,3,5,5,19999.0
39096.956537890044,2012.0,29754.944682032477,67318.32684824902,37290.852278119106,2,2,34107.510283687945,4,7,7.8,37290.852278119106,33622.928550074736,4,2,2,4,19900.0
30443.28437233134,2022.0,33629.95909090909,36317.082790069246,37290.852278122285,2,1,33942.07789344765,1,8,7.5,37290.852278119106,45416.117230273754,4,6,4,5,37990.0
39096.956537890044,2010.0,26184.554430379747,22352.144101479913,37290.8522781188,2,1,20933.3125,2,8,7.7,37290.852278119106,29438.24339250493,4,3,5,5,12990.0
33206.44540229885,2013.0,17484.29126213592,29819.709167544785,37290.85227811907,2,1,20219.597701149425,4,8,9.9,37290.852278119106,36711.147121535185,6,7,4,5,16999.0
37290.852278119106,2021.0,37290.852278119106,22352.144101479913,37290.852278119106,2,2,23545.35714285714,2,7,6.0,37290.852278119106,45416.117230273754,4,3,3,4,36990.0
24745.78151260504,2014.0,29019.234234234234,36317.082790069246,37290.852278119106,2,1,28471.982409638553,0,8,8.7,37290.852278119106,33270.39215686275,4,6,4,5,23880.0
39096.956537890044,2007.0,26184.554430379747,29819.709167544785,37290.852278119106,2,1,20933.3125,2,8,7.4,37290.852278119106,28165.06850321396,4,7,4,5,10990.0
39096.956537890044,2016.0,36069.36809815951,37912.168064254234,37290.852278119106,2,1,24530.266666666666,4,8,10.9,37290.852278119106,33622.928550074736,4,5,3,14,44900.0
26349.247154471544,2012.0,24386.233516483517,22352.144101479913,37290.852278102866,2,1,20933.3125,2,8,6.9,37290.852278119106,32222.2160669542,4,3,5,5,15880.0
30443.28437233134,2013.0,22102.0,29819.709167544785,37290.85227811719,2,1,33942.07789344765,2,8,6.6,37290.852278117025,38685.175749674054,4,7,4,5,16995.0
39096.956537890044,2008.0,40318.305555555555,36317.082790069246,37290.852278119106,2,1,35429.108695652176,2,8,11.0,37290.852278119106,36711.147121535185,6,6,4,7,19880.0
26349.247154471544,2018.0,34629.589147286824,36317.082790069246,37290.852278119106,2,1,32183.678682170543,1,1,7.8,37290.852278119106,37255.1947836396,4,6,4,7,43999.0
52144.15468409586,2012.0,46166.32467532468,36317.082790069246,37290.852278119106,2,1,34107.510283687945,0,1,5.6,37290.852278119106,35832.28363636364,4,6,4,5,18888.0
21202.012160898037,2016.0,37290.85227811908,65276.95,37290.852278119106,2,1,22005.086832740213,2,7,7.5,37290.852278119106,29533.212765957447,4,1,2,4,24995.0
57619.90365448505,2006.0,37290.85227811877,36317.082790069246,37290.852278119106,2,1,59081.42134831461,0,1,9.6,37290.852278119106,28165.06850321396,6,6,4,5,9998.0
28592.73612463486,2009.0,14846.290697674418,29819.709167544785,37290.85227811876,2,1,34107.510283687945,2,8,8.2,37290.852278119106,29438.24339250493,4,7,4,5,9990.0
51928.39035087719,2014.0,47791.60596115299,67318.32684824902,37290.852278119106,2,1,34107.510283687945,1,7,6.7,37290.852278119106,37255.1947836396,4,2,2,4,27380.0
28492.789813664596,2018.0,15970.287878787878,22352.144101479913,37290.852278119106,2,1,28933.851612903225,2,8,5.4,37290.852278119106,31388.425443786986,3,3,5,5,24999.0
42729.08463949843,2015.0,31117.351139059552,36317.082790069246,37290.852278119106,2,1,16753.145168357314,0,8,10.0,37290.852278119106,37290.66669833811,6,6,4,5,17999.0
37527.64441939121,2011.0,39702.44827586207,36317.082790069246,37290.85227811906,2,1,34107.510283687945,1,7,8.8,37290.852278119106,35832.28363636364,4,6,4,5,12990.0
28592.73612463486,2012.0,24206.573170731706,36317.082790069246,37290.85227811906,2,1,34107.510283687945,2,8,7.9,37290.852278119106,33827.59457917261,4,6,4,5,13990.0
52144.15468409586,2016.0,37290.85281617571,65276.95,37290.852278119004,2,1,34107.510283687945,4,7,6.4,37290.852278119106,38685.175749674054,4,1,2,4,28990.0
26349.247154471544,2022.0,30608.39393939394,36317.082790069246,37290.852278119106,2,1,34107.510283687945,2,8,8.1,37290.852278119106,34861.53140200286,4,6,4,5,36800.0
30443.28437233134,2011.0,20104.471615720526,29819.709167544785,37290.852278102706,2,1,34107.510283687945,2,8,8.2,37290.852278119106,26653.775280898877,4,7,4,5,13999.0
37527.64441939121,2023.0,39702.44827586207,37290.876682246315,37290.852278119106,1,1,34107.510283687945,1,7,8.9,44365.61041666666,37290.852278119106,4,6,4,7,56887.0
26349.247154471544,2014.0,23658.92061506457,27380.195840554592,37290.85227811763,2,1,33942.07789344765,4,1,9.0,37290.852278119106,23362.08924611681,4,9,4,8,19888.0
39096.956537890044,2014.0,22285.2268907563,22352.144101479913,37290.8522781188,2,1,29638.478666666666,2,8,6.3,37290.852278119106,42554.086956521736,4,3,5,5,8995.0
39096.956537890044,2016.0,40318.305555555555,36317.082790069246,37290.8522781191,2,1,35429.108695652176,2,8,10.4,37290.852278119106,38685.175749674054,6,6,4,7,31900.0
