Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
70,2008.0,385,226,1036,2,1,30,2,7,8.0,4412,498,4,3,5,5,14990.0
27,2014.0,241,474,2871,2,1,28,2,8,7.4,1189,498,4,7,4,5,7888.0
29,2018.0,423,586,5157,2,1,35,4,1,8.8,5031,371,4,9,4,8,27990.0
50,2013.0,698,569,2578,2,2,35,0,1,9.1,6417,596,4,8,4,5,19800.0
4,2021.0,45,474,6764,2,1,30,4,7,6.4,6465,48,4,7,4,5,67988.0
70,2018.0,385,586,5621,2,1,24,2,7,5.6,2066,649,4,9,4,5,21880.0
3,2019.0,571,468,5671,2,1,24,2,7,7.2,9317,649,4,6,4,5,41888.0
51,2005.0,284,381,446,2,1,0,3,8,7.663150894460331,11489,61,0,0,0,0,17900.0
69,2009.0,290,381,1227,2,1,0,3,8,7.663150894460331,1923,514,0,0,0,0,18900.0
65,2016.0,548,468,4222,2,1,35,1,7,7.3,11927,516,4,6,4,5,29990.0
46,2007.0,78,226,721,2,2,33,2,7,8.8,196,101,4,3,5,5,7920.0
29,2015.0,112,226,3405,2,1,26,2,8,6.4,12746,516,4,3,5,5,14999.0
40,2013.0,616,468,2480,2,1,62,0,1,8.8,3651,649,6,6,4,5,38950.0
48,2014.0,135,106,3029,2,1,0,2,7,7.663150894460331,13887,48,0,3,0,0,16999.0
19,2013.0,320,226,2337,2,1,26,2,8,6.6,11309,516,4,3,5,5,12990.0
37,2017.0,663,468,4567,2,1,34,1,8,8.5,11129,649,4,6,4,5,29990.0
55,2010.0,208,468,1483,2,1,92,1,7,10.5,5164,649,8,6,4,5,29990.0
55,2016.0,209,160,4196,2,2,70,4,7,10.3,6506,649,6,2,2,2,214880.0
19,2007.0,686,468,670,2,1,71,1,8,12.2,4362,596,6,6,4,5,8950.0
66,2017.0,675,34,4835,2,1,0,2,7,7.663150894460331,10133,795,0,3,0,0,26280.0
51,2016.0,537,569,4172,2,1,33,0,1,7.0,7023,649,4,8,4,5,21290.0
69,2009.0,290,381,1227,2,1,0,3,8,7.663150894460331,478,152,0,0,0,0,22900.0
69,2013.0,583,468,2703,2,1,32,1,1,6.5,7580,329,4,6,4,5,14995.0
69,2008.0,404,569,1015,2,1,40,0,1,9.5,6868,729,4,8,4,5,21290.0
46,2014.0,26,226,3004,2,1,30,2,8,5.8,2032,237,4,3,5,5,16388.0
29,2021.0,719,468,6856,2,1,26,2,8,7.2,8230,729,4,6,4,5,26990.0
4,2015.0,733,468,3284,2,1,30,1,1,5.1,9034,596,4,6,4,5,32000.0
4,2021.0,45,474,6764,2,1,30,4,7,6.4,7618,48,4,7,4,5,67988.0
46,2007.0,78,226,721,2,1,33,2,7,8.9,6181,48,4,3,5,5,7600.0
29,2013.0,718,226,2445,2,1,26,2,8,6.4,3432,596,4,3,3,4,17990.0
69,2017.0,199,474,4850,2,1,35,2,8,7.9,3151,289,4,7,4,5,19950.0
50,2011.0,457,226,1747,2,1,30,2,8,7.3,5597,430,4,3,5,5,9990.0
4,2020.0,476,160,6269,2,1,62,4,7,8.8,7474,649,6,2,2,4,129988.0
66,2011.0,675,226,1813,2,1,24,2,8,6.2,5450,314,4,3,5,5,7999.0
19,2008.0,693,153,866,2,2,34,4,1,9.5,7734,596,4,0,2,3,9995.0
69,2009.0,290,381,1227,2,1,0,3,8,7.663150894460331,3968,59,0,0,0,0,19900.0
53,2017.0,33,226,4790,2,1,16,2,7,5.1,10294,516,3,3,5,5,16990.0
27,2017.0,695,468,4461,2,1,24,2,8,6.9,12598,136,4,6,4,5,17888.0
